"instruction","output"
"How do you identify dynamic programming problems?","Optimal substructure (optimal solution contains optimal solutions to subproblems) and overlapping subproblems. Examples: Fibonacci, knapsack, LCS."
"What is the difference between greedy and dynamic programming?","Greedy makes locally optimal choices hoping for global optimum. DP considers all possibilities and finds true optimum. Greedy is faster but not always correct."
"How do you implement Fibonacci using dynamic programming?","Bottom-up: dp[0]=0, dp[1]=1, for i=2 to n: dp[i]=dp[i-1]+dp[i-2]. Top-down: memoization with recursive calls."
"What is the knapsack problem?","Given items with weights and values, maximize value in knapsack of limited capacity. DP solution: consider including/excluding each item."
"How do you find longest common subsequence?","DP table where dp[i][j] = length of LCS of first i characters of string1 and first j characters of string2. Traceback gives actual subsequence."
"What are bit manipulation techniques?","Set bit: n |= (1 << i), Clear bit: n &= ~(1 << i), Toggle bit: n ^= (1 << i), Check bit: (n >> i) & 1."
"How do you count number of set bits?","Brian Kernighan's algorithm: while(n) { count++; n &= (n-1); } Each iteration removes rightmost set bit."
"What are applications of bit manipulation?","Flags and permissions, optimization (faster than arithmetic), cryptography, compression algorithms, set operations."
"How do you implement union-find data structure?","Array to track parent of each element. Find with path compression, union by rank/size. Applications: cycle detection, minimum spanning tree."
"What is path compression in union-find?","During find operation, make every node on path point directly to root. Flattens tree structure, improves future find operations to nearly O(1)."
"How do you detect cycles using union-find?","For each edge (u,v), find roots of u and v. If same root, cycle exists. Otherwise, union the components."
"What are the applications of trees in computer science?","File systems (directory structure), expression parsing, database indexing, decision making, compression (Huffman trees), game trees."
"How do you implement tree traversal iteratively?","Use explicit stack for DFS variants. Preorder: push right then left child. Inorder: complex - use stack with current pointer."
"What is the difference between binary tree and binary search tree?","Binary tree: each node has at most 2 children. BST: additional property that left < root < right. BST enables efficient searching."
"How do you find lowest common ancestor in BST?","Start at root. If both nodes are smaller, go left. If both larger, go right. If one smaller and one larger, current node is LCA."
"What is a trie data structure?","Tree where each node represents a character. Root to leaf path spells a word. Efficient for prefix matching and word searches."
"How do you implement a trie?","struct TrieNode { TrieNode* children[26]; bool isEndOfWord; }; Insert by following character path, creating nodes as needed."
"What are applications of tries?","Auto-complete systems, spell checkers, IP routing tables, data compression, solving word games like Boggle."
"How do you implement string matching algorithms?","Naive: O(nm), KMP: O(n+m) with failure function, Rabin-Karp: O(n+m) average with rolling hash."
"What is the KMP string matching algorithm?","Knuth-Morris-Pratt uses failure function to avoid redundant comparisons. When mismatch occurs, skip characters intelligently based on pattern analysis."
